Artist Name,Genre,Popularity,Followers,ID,URI,Followers to Popularity (%),Number of Genres,Genres,Years Active
The Killers,alternative,79,7560158,0C0XlULifJtAgn6ZNCW2eu,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,9569820.25,5,"alternative rock, dance rock, modern rock, permanent wave, rock",Unknown
Alice In Chains,alternative,75,5402137,64tNsm6TnZe2zpcMVMOoHL,spotify:artist:64tNsm6TnZe2zpcMVMOoHL,7202849.33,6,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",Unknown
The Strokes,alternative,78,5974886,0epOFNiUfyON9EYx7Tpr6V,spotify:artist:0epOFNiUfyON9EYx7Tpr6V,7660110.26,5,"alternative rock, garage rock, modern rock, permanent wave, rock",Unknown
The Offspring,alternative,79,5933837,5LfGQac0EIXyAN8aUwmNAQ,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,7511186.08,7,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk",Unknown
Creed,alternative,75,3611076,43sZBwHjahUvgbx1WNIkIz,spotify:artist:43sZBwHjahUvgbx1WNIkIz,4814768.0,4,"alternative metal, nu metal, post-grunge, rock",Unknown
Foo Fighters,alternative,78,12160717,7jy3rLJdDQY21OgRLCZ9sD,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,15590662.82,6,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",Unknown
Falling In Reverse,alternative,76,3557165,2CmaKO2zEGJ1NWpS1yfVGz,spotify:artist:2CmaKO2zEGJ1NWpS1yfVGz,4680480.26,2,"alternative metal, rap metal",Unknown
Florence + The Machine,alternative,78,6914576,1moxjboGR7GNWYIMWsRjgG,spotify:artist:1moxjboGR7GNWYIMWsRjgG,8864841.03,4,"baroque pop, modern rock, neo mellow, uk alternative pop",Unknown
The Smashing Pumpkins,alternative,75,5418651,40Yq4vzPs9VNUrIBG5Jr2i,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,7224868.0,6,"alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge",Unknown
Avenged Sevenfold,alternative,78,9312305,0nmQIMXWTXfhgOBdNzhGOs,spotify:artist:0nmQIMXWTXfhgOBdNzhGOs,11938852.56,1,alternative metal,Unknown
Limp Bizkit,alternative,78,6565492,165ZgPlLkK7bf5bDoFc6Sb,spotify:artist:165ZgPlLkK7bf5bDoFc6Sb,8417297.44,6,"alternative metal, funk metal, nu metal, post-grunge, rap metal, rock",Unknown
Breaking Benjamin,alternative,74,4772005,5BtHciL0e0zOP7prIHn3pP,spotify:artist:5BtHciL0e0zOP7prIHn3pP,6448655.41,3,"alternative metal, nu metal, post-grunge",Unknown
The 1975,alternative,78,7472142,3mIj9lX2MWuHmhNCA7LSCW,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,9579669.23,5,"modern alternative rock, modern rock, pop, pov: indie, rock",Unknown
Five Finger Death Punch,alternative,75,6564961,5t28BP42x2axFnqOOMg3CM,spotify:artist:5t28BP42x2axFnqOOMg3CM,8753281.33,3,"alternative metal, groove metal, nu metal",Unknown
The Alchemist,alternative,73,756837,0eVyjRhzZKke2KFYTcDkeu,spotify:artist:0eVyjRhzZKke2KFYTcDkeu,1036763.01,5,"alternative hip hop, drumless hip hop, hip hop, instrumental hip hop, west coast rap",Unknown
Shinedown,alternative,72,4217564,70BYFdaZbEKbeauJ670ysI,spotify:artist:70BYFdaZbEKbeauJ670ysI,5857727.78,3,"alternative metal, nu metal, post-grunge",Unknown
Disturbed,alternative,77,6969397,3TOqt5oJwL9BE2NG9MEwDa,spotify:artist:3TOqt5oJwL9BE2NG9MEwDa,9051164.94,4,"alternative metal, nu metal, rap metal, rock",Unknown
Pearl Jam,alternative,77,9169907,1w5Kfo2jwwIPruYS2UWh56,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,11908970.13,7,"alternative metal, alternative rock, classic rock, grunge, hard rock, permanent wave, rock",Unknown
MGMT,alternative,75,3243489,0SwO7SWeDHJijQ3XNS7xEE,spotify:artist:0SwO7SWeDHJijQ3XNS7xEE,4324652.0,5,"alternative rock, indie rock, indietronica, modern rock, rock",Unknown
Skillet,alternative,76,5362929,49bzE5vRBRIota4qeHtQM8,spotify:artist:49bzE5vRBRIota4qeHtQM8,7056485.53,4,"alternative metal, christian alternative rock, christian music, christian rock",Unknown
Santigold,alternative,72,735799,6Jrxnp0JgqmeUX1veU591p,spotify:artist:6Jrxnp0JgqmeUX1veU591p,1021943.06,4,"alternative dance, art pop, indietronica, neo-synthpop",Unknown
Papa Roach,alternative,74,5440065,4RddZ3iHvSpGV4dvATac9X,spotify:artist:4RddZ3iHvSpGV4dvATac9X,7351439.19,5,"alternative metal, nu metal, rap metal, rap rock, rock",Unknown
3 Doors Down,alternative,73,4520658,2RTUTCvo6onsAnheUk3aL9,spotify:artist:2RTUTCvo6onsAnheUk3aL9,6192682.19,4,"alternative metal, nu metal, post-grunge, rock",Unknown
Seether,alternative,71,3527024,6B5c4sch27tWHAGdarpPaW,spotify:artist:6B5c4sch27tWHAGdarpPaW,4967639.44,4,"alternative metal, nu metal, post-grunge, south african rock",Unknown
Earl Sweatshirt,alternative,71,2302645,3A5tHz1SfngyOZM2gItYKu,spotify:artist:3A5tHz1SfngyOZM2gItYKu,3243161.97,6,"alternative hip hop, drumless hip hop, experimental hip hop, hip hop, rap, underground hip hop",Unknown
The Black Keys,alternative,73,4057917,7mnBLXK823vNxN3UWB7Gfz,spotify:artist:7mnBLXK823vNxN3UWB7Gfz,5558790.41,9,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock",Unknown
KAYTRANADA,alternative,73,1587101,6qgnBH6iDM91ipVXv28OMu,spotify:artist:6qgnBH6iDM91ipVXv28OMu,2174110.96,4,"alternative r&b, escape room, indie soul, lgbtq+ hip hop",Unknown
Foster The People,alternative,74,3875517,7gP3bB2nilZXLfPHJhMdvc,spotify:artist:7gP3bB2nilZXLfPHJhMdvc,5237185.14,4,"indietronica, modern alternative rock, modern rock, rock",Unknown
